Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Residential Type
220104,2022,01/09/2023,Madison,1260 DURHAM RD,321200.0,450000.0,0.7137,Single Family
220570,2022,04/18/2023,Hartford,56 LOOMIS ST,31899.0,125000.0,0.2551,Single Family
221704,2022,03/17/2023,Manchester,87 LORRAINE ROAD,247400.0,410000.0,0.6034,Single Family
220578,2022,06/06/2023,West Hartford,83 SHADOW LANE UNIT B2,58240.0,140000.0,0.416,Condo
220250,2022,12/02/2022,Norwalk,8 BEAU ST,242870.0,530000.0,0.4582,Single Family
220511,2022,04/18/2023,West Haven,250 CENTER ST,135660.0,314000.0,0.432,Single Family
220031,2022,12/05/2022,Mansfield,91 CHAFFEEVILLE RD #2,42100.0,124900.0,0.337,Single Family
220179,2022,04/28/2023,Avon,15 WALNUT LANE,107390.0,325000.0,0.3304,Condo
2200051,2022,01/05/2023,New Fairfield,3 JESSIE ST,147700.0,315000.0,0.4688,Single Family
220115,2022,12/02/2022,Shelton,97 YUTAKA TRL,339570.0,410000.0,0.8282,Single Family
220290,2022,03/27/2023,Wallingford,2A CATHERINES CT,140100.0,228000.0,0.6144,Condo
220703,2022,05/11/2023,Norwalk,32 GOLDEN HILL STREET,195530.0,215000.0,0.9094,Single Family
221090,2022,08/15/2023,Southington,340 SUMMER ST,118310.0,297500.0,0.3976,Single Family
220320,2022,09/05/2023,Madison,307 NECK RD,543200.0,1200000.0,0.4526,Single Family
220041,2022,01/04/2023,Somers,429 PINNEY ROAD,201000.0,367000.0,0.5476,Single Family
220553,2022,05/03/2023,Meriden,80 HILLSIDE AVE,73990.0,47000.0,1.5742,Single Family
221251,2022,06/13/2023,Waterbury,153 EASTON AVE,52293.0,262000.0,0.1995,Three Family
2222110,2022,03/09/2023,Ansonia,53 STATE ST,231280.0,252000.0,0.9177,Three Family
221000011,2022,10/12/2022,Woodbury,51 CARMEL HILL RD,316060.0,519500.0,0.6083,Single Family
220022,2022,10/07/2022,Branford,133 WATCH HILL RD,122300.0,286000.0,0.4276,Condo
220140,2022,11/23/2022,Norwich,438 LAUREL HILL AVE,103000.0,220000.0,0.4681,Two Family
22141,2022,02/21/2023,Montville,14 RICKEY LN,190400.0,350000.0,0.544,Single Family
2200050,2022,11/14/2022,East Haven,43 ROSE ST,185640.0,379000.0,0.4898,Single Family
221008,2022,04/25/2023,Fairfield,344 HIGH STREET,266210.0,410000.0,0.6492,Single Family
220310,2022,01/24/2023,Norwich,94 WAWECUS HILL RD,186000.0,310000.0,0.6,Two Family
22059,2022,04/04/2023,Beacon Falls,32 DONNA STREET,13700.0,10900.0,1.2568,Single Family
220132,2022,11/22/2022,Hartford,68 LAWRENCE ST,85297.0,275000.0,0.3101,Three Family
220234,2022,08/31/2023,Rocky Hill,831 ELM STREET,207410.0,425000.0,0.488,Single Family
220474,2022,06/21/2023,Enfield,2 OAK AVE,161300.0,197000.0,0.8187,Two Family
220026,2022,10/12/2022,Branford,5-4 FOXWOOD CROSSING,133400.0,301000.0,0.4431,Condo
220417,2022,12/16/2022,Bridgeport,74 HOLLYWOOD AVE,137050.0,280000.0,0.4895,Single Family
220267,2022,03/01/2023,Enfield,28 WINDHAM RD,149900.0,310000.0,0.4835,Single Family
223417,2022,07/18/2023,Newington,69 CROWN RDG,126700.0,266000.0,0.4763,Condo
220447,2022,09/12/2023,Windsor,10 PHELPS MEADOW,157500.0,350000.0,0.45,Single Family
220065,2022,03/17/2023,Essex,13 DOGWOOD DR,204200.0,317000.0,0.6441,Single Family
220069,2022,04/10/2023,Portland,86 COLLINS HILL RD,206710.0,390000.0,0.53,Single Family
22054,2022,12/08/2022,Monroe,304B FAIRMOUNT DRIVE,134300.0,136250.0,0.9856,Condo
220100,2022,11/08/2022,Hamden,22 GLEMBY ST,139790.0,265000.0,0.5275,Single Family
220156,2022,01/24/2023,Windsor,83 TIFFANY DR,150430.0,108500.0,1.3864,Single Family
220641,2022,08/04/2023,Branford,13 POND VIEW TER,517900.0,1150000.0,0.4503,Single Family
220443,2022,02/21/2023,Branford,9 MONTOYA,69700.0,180000.0,0.3872,Condo
220220,2022,04/12/2023,Westport,1 FRAGRANT PINES COURT,654800.0,1550000.0,0.4224,Single Family
220083,2022,11/14/2022,Wallingford,990 EAST CENTER ST,167200.0,185000.0,0.9038,Single Family
2200994,2022,05/26/2023,Stamford,155 LITTLE HILL DRIVE,389445.0,755000.0,0.5158,Single Family
220206,2022,11/30/2022,Milford,43 AUDUBON CLOSE,203620.0,123333.0,1.651,Condo
2222200,2022,08/17/2023,Ansonia,597 MAIN ST,171570.0,335000.0,0.5121,Two Family
2200133,2022,12/21/2022,East Hartford,7 WESTBROOK ST,121500.0,200000.0,0.6075,Single Family
220620,2022,05/30/2023,Hamden,61 CENTRAL AVE,127400.0,348500.0,0.3655,Single Family
220324,2022,02/07/2023,Meriden,73 NEWTON ST,140910.0,190000.0,0.7416,Single Family
22336,2022,09/26/2023,Montville,267 MAPLE AVE,124180.0,289000.0,0.4296,Single Family
220525,2022,09/21/2023,Groton,183 DARTMOUTH DR,89810.0,165000.0,0.5443,Condo
220054,2022,03/24/2023,Easton,105 ROCK HOUSE ROAD,558880.0,800000.0,0.6986,Single Family
2200039,2022,11/21/2022,Seymour,9 CARRIAGE DR,255990.0,590000.0,0.4338,Single Family
220299,2022,07/31/2023,Wethersfield,31 CUMBERLAND AVE,149130.0,265000.0,0.5627,Single Family
220251,2022,03/01/2023,Southington,148 90 APPLE GATE,275150.0,528421.0,0.5207,Condo
2200112,2022,12/14/2022,New Milford,257 GROVE ST,199380.0,345000.0,0.5779,Single Family
22199,2022,07/07/2023,Derby,3 SANTANGELO TERR,52150.0,171000.0,0.3049,Condo
2200795,2022,04/10/2023,Stamford,202 SOUNDVIEW AVE #53,287200.0,525000.0,0.547,Condo
220625,2022,06/21/2023,West Hartford,46 GRISWOLD DRIVE,255150.0,528000.0,0.4832,Single Family
220114,2022,03/22/2023,Rocky Hill,1417 HARBOR VIEW DRIVE,62930.0,107500.0,0.5853,Condo
220096,2022,02/10/2023,Wolcott,33 BAYVIEW CIR,156150.0,200000.0,0.7807,Single Family
220428,2022,04/10/2023,West Hartford,101 MERILINE AVENUE,186620.0,310000.0,0.602,Two Family
221021,2022,05/02/2023,Bridgeport,314 CHAMBERLAIN AVE #316,189150.0,450000.0,0.4203,Two Family
220039,2022,11/16/2022,Ellington,11 DAISY LN,359460.0,635000.0,0.566,Single Family
221046,2022,09/06/2023,Milford,967 NEW HAVEN AVE,245940.0,275000.0,0.8943,Single Family
220926,2022,09/08/2023,New Haven,756 QUINNIPIAC AV #13,146230.0,217500.0,0.6723,Condo
220018,2022,10/31/2022,Woodstock,1082 RT 197,268100.0,460000.0,0.5828,Single Family
221447,2022,11/09/2022,Manchester,208 CHARTER OAK STREET,213000.0,185000.0,1.1513,Four Family
220164,2022,09/23/2023,Putnam,14-16 DANIELS ST,94400.0,100000.0,0.944,Two Family
220114,2022,02/15/2023,Ledyard,19 QUAKERTOWN MEADOWS,64120.0,493000.0,0.13,Single Family
2200023,2022,10/24/2022,East Haven,19 PROSPECT PL,147280.0,275100.0,0.5353,Single Family
22148,2022,03/01/2023,Montville,69 FOREST DR,169740.0,271000.0,0.6263,Single Family
220710,2022,08/09/2023,West Haven,114 TAFT AVE,111860.0,190000.0,0.5887,Single Family
223294,2022,05/16/2023,Newington,134 CEDARWOOD LN,199850.0,306000.0,0.6531,Single Family
220246,2022,05/12/2023,New London,292 PEQUOT AVE #4P,126350.0,299000.0,0.4225,Condo
2200166,2022,07/06/2023,Plymouth,389 MT TOBE ROAD,193200.0,400000.0,0.483,Single Family
220118,2022,02/08/2023,Madison,107 OLD TOLL RD,225100.0,260000.0,0.8658,Single Family
220039,2022,10/20/2022,Groton,48-50 MORSE AVE,200410.0,262800.0,0.7626,Two Family
220010,2022,10/12/2022,Plainville,8 EXETER AVE,108010.0,115000.0,0.9392,Single Family
220411,2022,07/10/2023,Groton,334 BROOK ST,321370.0,610000.0,0.5268,Two Family
220205,2022,03/09/2023,Trumbull,94 GROVE STREET,329490.0,250000.0,1.3179,Single Family
220229,2022,08/03/2023,East Hampton,27 COUNTRY LANE,149840.0,310000.0,0.4833,Single Family
2200136,2022,03/13/2023,Bloomfield,11 HIRAM LN,192100.0,280000.0,0.686,Single Family
22176,2022,06/08/2023,Stafford,73 TOLLAND AVE,128030.0,319900.0,0.4002,Single Family
22070,2022,08/31/2023,Marlborough,15 WALNUT DR,148440.0,370000.0,0.4011,Single Family
220090,2022,01/09/2023,New Canaan,157 RICHMOND HILL RD,596540.0,600000.0,0.9942,Single Family
220055,2022,11/23/2022,Brookfield,10 TARA DR,106370.0,225000.0,0.4727,Condo
220149,2022,06/27/2023,Ellington,186 ABBOTT RD,310960.0,658000.0,0.4725,Single Family
220383,2022,03/22/2023,Stratford,185 BREAKERS LANE,166460.0,345000.0,0.4824,Condo
220148,2022,12/28/2022,Groton,2-4 ZION CT,145250.0,235000.0,0.618,Two Family
220055,2022,12/09/2022,East Hampton,17 ANDERSON WAY,289220.0,535000.0,0.5405,Single Family
221720,2022,03/27/2023,Manchester,97 LENOX STREET,122500.0,255000.0,0.4803,Single Family
220200,2022,05/24/2023,Killingly,5 PEEP TOAD RD,100870.0,285000.0,0.3539,Single Family
220098,2022,05/15/2023,Oxford,922 TILLINGHAST DRIVE,296200.0,573770.0,0.5162,Condo
220116,2022,06/05/2023,Putnam,114 SO MAIN ST,116500.0,300000.0,0.3883,Single Family
220292,2022,01/30/2023,Torrington,1424 TORRINGFORD W ST,120350.0,278000.0,0.4329,Single Family
221048,2022,05/01/2023,Waterbury,21 FORT HILL AVE,61830.0,195000.0,0.317,Single Family
220024,2022,01/03/2023,Bethany,253 BEACON RD,252420.0,240000.0,1.0518,Single Family
220131,2022,12/16/2022,Groton,55 CROWN KNOLL CT S90,74690.0,158000.0,0.4727,Condo
220405,2022,03/20/2023,Torrington,118 ROCK CREEK LN,105150.0,240000.0,0.4381,Single Family
220441,2022,07/14/2023,Wallingford,9 ALBERT ST,137100.0,300000.0,0.457,Single Family
220144,2022,12/28/2022,Newington,4 SIXTH ST,126000.0,267000.0,0.4719,Single Family
220660,2022,09/14/2023,Enfield,15 LONGVIEW RD,145700.0,291000.0,0.5006,Single Family
2200220,2022,02/07/2023,East Hartford,30 RIVERMEAD BLVD,26830.0,34000.0,0.7891,Condo
220438,2022,04/05/2023,New Haven,61 MAIN ST,142170.0,261000.0,0.5447,Two Family
220091,2022,03/07/2023,Griswold,15 GEORGE ST UNIT 25,46970.0,120000.0,0.3914,Condo
220196,2022,07/03/2023,East Hampton,27 BAY RD,296080.0,400000.0,0.7402,Single Family
220117,2022,11/28/2022,West Haven,231 COLONIAL BLVD,127890.0,279000.0,0.4583,Single Family
220222,2022,07/17/2023,Brookfield,9 BLACK SWAN CT,404850.0,715000.0,0.5662,Condo
2200251,2022,02/23/2023,East Hartford,8 DANIEL ST,116180.0,245000.0,0.4742,Single Family
220363,2022,02/16/2023,Norwich,8 ELM AVE,198100.0,435000.0,0.4554,Single Family
220004,2022,10/06/2022,Portland,17 EAST MAIN ST,158900.0,300000.0,0.5296,Single Family
220622,2022,01/26/2023,Waterbury,160 PROSPECT ST,63623.0,336000.0,0.1894,Four Family
2200312,2022,09/29/2023,Bloomfield,61 MOUNTAIN AVE,163190.0,363000.0,0.4495,Single Family
220772,2022,03/08/2023,Bridgeport,25 DEFOREST AVE,140000.0,280000.0,0.5,Two Family
220063,2022,09/25/2023,Pomfret,139 WOLF DEN RD,231300.0,580000.0,0.3987,Single Family
2200146,2022,01/12/2023,New Milford,42 PERRY DR,154940.0,340000.0,0.4557,Single Family
221346,2022,06/30/2023,Waterbury,82 MONROE AVE,73265.0,237000.0,0.3091,Single Family
220102,2022,05/04/2023,Old Lyme,56 SALTAIRE DR,414540.0,121397.0,3.4147,Single Family
220732,2022,06/29/2023,Hamden,123 EAST GATE LA U123,97160.0,220515.0,0.4406,Condo
220159,2022,07/03/2023,Coventry,60 MOUNTAIN RIDGE DR,211400.0,516900.0,0.4089,Single Family
220097,2022,11/30/2022,Vernon,29 EMILY DR,108200.0,180000.0,0.6011,Single Family
222318,2022,08/10/2023,Bridgeport,555 BURNSFORD AVE,143820.0,340000.0,0.423,Single Family
220802,2022,08/31/2023,Stratford,269 RIVERDALE DRIVE,213920.0,555000.0,0.3854,Single Family
220746,2022,08/25/2023,West Haven,690 FOREST RD #791,216720.0,435000.0,0.4982,Condo
220444,2022,04/06/2023,Torrington,50 SUNRISE DR,163030.0,292000.0,0.5583,Single Family
220449,2022,04/12/2023,Torrington,241 HAYDEN HILL RD,99050.0,177800.0,0.557,Single Family
220856,2022,08/07/2023,Hartford,46 SOMERS ST,56595.0,180000.0,0.3144,Single Family
2201431,2022,08/22/2023,Stamford,38 LOCKWOOD AVENUE,450515.0,1000000.0,0.4505,Three Family
220857,2022,08/31/2023,Meriden,61 LAMBERT AVE,198240.0,235000.0,0.8435,Single Family
220003,2022,10/03/2022,Torrington,282 ROOSEVELT AVE,99260.0,240000.0,0.4135,Single Family
220662,2022,07/18/2023,West Haven,79 CLAUDIA DR #447,32900.0,80000.0,0.4112,Condo
2200728,2022,03/22/2023,Stamford,2475 SUMMER STREET # 3H,118660.0,200000.0,0.5933,Condo
22202,2022,07/17/2023,Wilton,26 HICKORY HILL RD,590240.0,1225000.0,0.4818,Single Family
220104,2022,05/22/2023,Putnam,377 KENNEDY DR,96900.0,120500.0,0.8041,Two Family
2200479,2022,01/10/2023,Stamford,71 WYNNEWOOD LANE,966155.0,1500000.0,0.6441,Single Family
220039,2022,12/02/2022,Suffield,2032 OAK ST,157360.0,195000.0,0.8069,Single Family
2200796,2022,04/10/2023,Stamford,77 COURTLAND HILL STREET,334570.0,551250.0,0.6069,Single Family
22038,2022,04/19/2023,Bethany,482 CARRINGTON RD,159510.0,350000.0,0.4557,Single Family
22128,2022,01/30/2023,Watertown,1290 BUCKINGHAM ST,182800.0,413000.0,0.4426,Single Family
220102,2022,08/01/2023,Easton,81 NORTH PARK AVENUE,648200.0,975000.0,0.6648,Single Family
220445,2022,04/06/2023,Torrington,123 HAWTHORNE TER,76320.0,189000.0,0.4038,Two Family
220130,2022,12/12/2022,Shelton,9 LEGACY LN,400960.0,795900.0,0.5037,Single Family
22080,2022,07/06/2023,Lebanon,460 GOSHEN HILL RD,136480.0,325000.0,0.4199,Single Family
220031,2022,10/12/2022,Torrington,38 N ELM ST,104930.0,219900.0,0.4771,Three Family
220173,2022,12/06/2022,Norwich,109 NORTH ST,90900.0,235000.0,0.3868,Single Family
22018,2022,11/10/2022,Middlebury,2066 MIDDLEBURY RD,320000.0,450000.0,0.7111,Single Family
22070,2022,12/27/2022,Darien,41 DUBOIS ST,836080.0,1614500.0,0.5179,Single Family
220295,2022,01/25/2023,Meriden,19 SWAIN AVE,149450.0,260000.0,0.5748,Two Family
220078,2022,04/04/2023,Putnam,253 SCHOOL ST,104500.0,249000.0,0.4196,Two Family
220034,2022,12/05/2022,Canton,3 ANDREW DRIVE,280210.0,525000.0,0.5337,Single Family
220108,2022,08/14/2023,Easton,126 FLAT ROCK ROAD,549850.0,1150000.0,0.4781,Single Family
2200174,2022,09/13/2023,New Fairfield,62 LAVELLE AVE,148000.0,385000.0,0.3844,Single Family
220172,2022,07/10/2023,Putnam,82 WOODSTOCK AVE,108700.0,245000.0,0.4436,Single Family
2200260,2022,11/17/2022,Stamford,670 HOPE STREET # 1,258675.0,487000.0,0.5311,Condo
220913,2022,09/05/2023,New Haven,159 WEYBOSSET ST,122640.0,300000.0,0.4088,Single Family
2200053,2022,12/15/2022,Seymour,62 PEARL ST,177100.0,340000.0,0.5208,Two Family
220830,2022,08/08/2023,New Haven,35 ELMWOOD RD,217140.0,500000.0,0.4342,Single Family
220032,2022,10/24/2022,Killingly,84 DOG HILL RD,150640.0,363000.0,0.4149,Single Family
22060,2022,06/09/2023,Salisbury,31 ROBIN HILL LANE,995300.0,1915000.0,0.5197,Single Family
220073,2022,10/19/2022,Norwalk,3 OAKWOOD AVE UNIT B6,234400.0,365000.0,0.6421,Condo
220147,2022,04/21/2023,Windsor Locks,8 DIBBLE HOLLOW LN,118860.0,253500.0,0.4689,Condo
22223,2022,05/18/2023,Montville,4 ADAMO AVE,265930.0,470000.0,0.5658,Single Family
220058,2022,10/11/2022,Bridgeport,29 MARTHA PL,209510.0,370000.0,0.5662,Condo
220356,2022,02/22/2023,Hamden,118 THOMPSON ST,121170.0,260000.0,0.466,Single Family
2200445,2022,07/25/2023,Naugatuck,63 LEWIS ST,144830.0,165000.0,0.8778,Single Family
220305,2022,02/01/2023,Torrington,76 E PEARL ST,115340.0,319900.0,0.3605,Three Family
220641,2022,06/26/2023,West Hartford,71 RIDGEWOOD ROAD,318850.0,675000.0,0.4723,Single Family
220063,2022,11/22/2022,East Lyme,10 ARBOR XING,482720.0,941512.97,0.5127,Single Family
220006,2022,10/21/2022,Lisbon,327 N BURNHAM HGWY,110070.0,145000.0,0.7591,Single Family
220142,2022,11/23/2022,Hamden,50 MICHAEL RD,123620.0,250000.0,0.4944,Single Family
220411,2022,03/20/2023,Torrington,746 MAIN ST,101410.0,246000.0,0.4122,Three Family
220041,2022,11/17/2022,Bloomfield,95 HABITAT LN,162120.0,325000.0,0.4988,Single Family
220960,2022,09/19/2023,Hartford,36-38 BALTIC ST,68796.0,116783.0,0.589,Two Family
220099,2022,12/01/2022,Vernon,14 HEATHER LN,196990.0,400000.0,0.4924,Single Family
22111,2022,04/06/2023,Derby,6 SUMMIT ST,91000.0,220000.0,0.4136,Two Family
220723,2022,07/12/2023,Meriden,66 DANA LA,179060.0,246450.0,0.7266,Single Family
2200003,2022,10/04/2022,New Milford,5 WILDLIFE DR,295610.0,550000.0,0.5375,Single Family
220061,2022,10/27/2022,New Haven,149 NORTON ST,203490.0,375000.0,0.5426,Two Family
220227,2022,05/15/2023,Wethersfield,296 WOLCOTT HILL RD,199630.0,420000.0,0.4753,Single Family
220023,2022,10/28/2022,Bloomfield,47 KENWOOD CIR,155470.0,320000.0,0.4858,Single Family
220222,2022,06/19/2023,Avon,70 ROSEWOOD ROAD,213720.0,530000.0,0.4032,Single Family
2200648,2022,03/01/2023,Stamford,143 HOYT STREET # 4G,177265.0,300000.0,0.5908,Condo
220091,2022,11/01/2022,Milford,118 GULF ST #15,207680.0,350000.0,0.5933,Condo
22131,2022,08/01/2023,Orange,1030 FERNBROOK RD,213000.0,200000.0,1.065,Single Family
22008,2022,11/08/2022,Bolton,53 SCHOOL RD,161600.0,365000.0,0.4427,Single Family
220050,2022,10/24/2022,Greenwich,2 IVY STREET,391650.0,840000.0,0.4662,Single Family
220007,2022,10/04/2022,Enfield,65 WEST SHORE DR,158700.0,280000.0,0.5668,Single Family
220265,2022,07/17/2023,East Lyme,32 SEAVIEW AVE,260260.0,550000.0,0.4732,Single Family
220477,2022,04/24/2023,New Haven,189 SHERMAN AV #2,75110.0,90100.0,0.8336,Condo
22000061,2022,11/14/2022,Cheshire,234 OLD LANE RD,280440.0,507000.0,0.5531,Single Family
220863,2022,08/18/2023,New Haven,159 FRANK ST,211050.0,355000.0,0.5945,Three Family
221680,2022,03/06/2023,Manchester,166 MIDDLE TURNPIKE EAST,114800.0,225000.0,0.5102,Single Family
220185,2022,03/08/2023,Westport,3 LAKEVIEW ROAD,365600.0,1445917.0,0.2528,Single Family
220201,2022,09/14/2023,Ellington,103 WHITE RD,141670.0,275000.0,0.5151,Single Family
220028,2022,11/10/2022,Griswold,37 CARELY AVE,116830.0,230000.0,0.508,Single Family
220030,2022,10/12/2022,Hamden,1450 MT CARMEL AVE,229040.0,529999.0,0.4321,Single Family
220009,2022,01/31/2023,Andover,90 BURNAP BROOK RD,265720.0,460000.0,0.5776,Single Family
221936,2022,07/13/2023,Manchester,150 CROFT DRIVE,154100.0,305000.0,0.5052,Single Family
220609,2022,05/01/2023,Hartford,412 FAIRFIELD AVE,89302.0,340000.0,0.2626,Two Family
220095,2022,05/02/2023,Weston,55 BRIDGE ROAD,304490.0,450000.0,0.6766,Single Family
220317,2022,02/10/2023,West Hartford,75 SEMINOLE CIRCLE,252070.0,460000.0,0.5479,Single Family
220928,2022,04/06/2023,Bridgeport,55 FAYERWEATHER TER,230500.0,419000.0,0.5501,Single Family
220976,2022,04/17/2023,Waterbury,39 SPRUCEDALE DR,106488.0,250000.0,0.4259,Single Family
220452,2022,03/20/2023,Milford,85 VISCOUNT DR #15D,190860.0,365000.0,0.5229,Condo
220215,2022,03/30/2023,Windsor,29 CLOVER ST,84500.0,260000.0,0.325,Single Family
220252,2022,01/13/2023,Stratford,299A SOUTH TRAIL,160510.0,350000.0,0.4586,Condo
220062,2022,02/14/2023,Putnam,41-45 FREMONT ST,125900.0,309000.0,0.4074,Two Family
220452,2022,04/14/2023,Torrington,521 NEW LITCHFIELD ST,70380.0,159900.0,0.4401,Single Family
220028,2022,10/19/2022,Avon,8 CLOVER COURT,115610.0,215000.0,0.5377,Condo
220124,2022,12/07/2022,Wallingford,4-4 MUNSON DR,165900.0,343657.0,0.4827,Condo
2200334,2022,07/07/2023,East Haven,39 WOODLAND AVE,216860.0,335000.0,0.6473,Single Family
220539,2022,05/26/2023,West Hartford,682 MOUNTAIN ROAD,194160.0,371000.0,0.5233,Single Family
221100008,2022,11/17/2022,Woodbury,44 OLD MEADOW RD,423020.0,625000.0,0.6768,Single Family
2200112,2022,05/22/2023,New Fairfield,11 MEADOW DR,164400.0,181000.0,0.9083,Single Family
220291,2022,04/06/2023,Shelton,176 DIVISION AVE,210210.0,255675.0,0.8221,Two Family
220331,2022,02/21/2023,West Hartford,124 NORTH QUAKER LANE,180850.0,450000.0,0.4018,Single Family
220515,2022,04/20/2023,Meriden,230 BUNKER AVE,115220.0,156000.0,0.7386,Single Family
220361,2022,02/23/2023,Hamden,84 HILLFIELD RD,153370.0,321000.0,0.4777,Single Family
220419,2022,01/27/2023,Branford,30 WEST HAYCOCK PT RD,490400.0,1000000.0,0.4904,Single Family
220392,2022,06/14/2023,Wallingford,129 PARKER FARMS RD,218100.0,430000.0,0.5072,Single Family
2200549,2022,08/14/2023,East Hartford,57 WESTVIEW DR,182220.0,321500.0,0.5667,Single Family
220240,2022,06/26/2023,East Lyme,14 CEDARBROOK LN,261730.0,485000.0,0.5396,Single Family
2200602,2022,02/13/2023,Stamford,28 BOUTON STREET WEST,363270.0,570000.0,0.6373,Single Family
220299,2022,12/30/2022,Milford,195 LOOKOUT HILL RD,273950.0,466000.0,0.5878,Single Family
220169,2022,12/29/2022,Southington,253-2-8 WEST ST,95800.0,160000.0,0.5988,Condo
220628,2022,07/17/2023,Torrington,78 COOPER ST,69030.0,207000.0,0.3334,Single Family
220894,2022,09/29/2023,Stratford,130 DAHL AVENUE,178430.0,310000.0,0.5755,Single Family
22024,2022,11/07/2022,Thompson,983 RIVERSIDE DR,86100.0,190000.0,0.4531,Two Family
220701,2022,09/11/2023,Branford,205 GREENS FARM RD,146500.0,220000.0,0.6659,Condo
220118,2022,01/20/2023,New London,41 HAWTHORNE DR,101360.0,220000.0,0.4607,Two Family
220988,2022,04/18/2023,Fairfield,245 UNQUOWA ROAD UNIT 114,240590.0,227500.0,1.0575,Condo
220011,2022,10/11/2022,Rocky Hill,64 WEST STREET,149100.0,331000.0,0.4504,Single Family
220313,2022,06/29/2023,Westport,6 BIRCHWOOD LANE,730000.0,1867000.0,0.391,Single Family
22088,2022,12/09/2022,Watertown,139 CHERRY AVE,129000.0,215000.0,0.6,Single Family
220261,2022,04/03/2023,Trumbull,1203 WOODLAND HILLS DRIVE,241290.0,438000.0,0.5509,Condo
221176,2022,06/28/2023,Fairfield,75 RIDGEVIEW AVENUE,437570.0,970000.0,0.4511,Single Family
220149,2022,08/07/2023,North Branford,21 BROOK LN,158000.0,294000.0,0.5374,Single Family
220307,2022,08/08/2023,Wethersfield,31 MIDWELL RD,198420.0,455000.0,0.436,Single Family
2200036,2022,03/13/2023,Killingworth,60 COW PEN HILL ROAD,230580.0,555000.0,0.4154,Single Family
220067,2022,11/04/2022,Shelton,9 FIRST AVE SUNNYSIDE,61180.0,99900.0,0.6124,Condo
220550,2022,05/23/2023,West Haven,319 MELOY RD,230860.0,255000.0,0.9053,Single Family
220187,2022,05/09/2023,Avon,15 CHURCHILL PLACE,362760.0,736000.0,0.4929,Single Family
220210,2022,07/31/2023,Colchester,5 MILLER RD,127300.0,225000.0,0.5657,Single Family
220043,2022,11/02/2022,Westport,89 PARTRICK ROAD,875000.0,1825000.0,0.4794,Single Family
220570,2022,06/05/2023,West Hartford,3 EASTVIEW STREET,296660.0,825000.0,0.3595,Single Family
2200089,2022,11/29/2022,New Milford,35 NEW BRIDGE RD,128740.0,200069.0,0.6434,Single Family
2200024,2022,11/07/2022,Plymouth,17 PROSPECT STREET,116900.0,230000.0,0.5082,Two Family
22301,2022,09/12/2023,Darien,23 GOODWIVES RIVER ROAD,899780.0,410000.0,2.1945,Single Family
220287,2022,06/26/2023,Litchfield,29 WOODRUFF ST,186910.0,425000.0,0.4397,Single Family
2200191,2022,08/16/2023,Plymouth,9 JAN COURT,193690.0,380000.0,0.5097,Single Family
22122,2022,04/12/2023,Wilton,17 SKUNK LN,520100.0,1125000.0,0.4623,Single Family
220372,2022,03/17/2023,Greenwich,24 MAPLEWOOD DRIVE,542360.0,875000.0,0.6198,Single Family
22202,2022,08/28/2023,Tolland,240 CIDER MILL RD,200300.0,466050.0,0.4297,Single Family
220082,2022,07/27/2023,Woodbridge,60 WOODFIELD RD,173110.0,310000.0,0.5584,Single Family
220004,2022,10/12/2022,Woodstock,107 BARBER RD,181300.0,347000.0,0.5224,Single Family
220169,2022,12/07/2022,Meriden,54 BLUEBERRY LA,171780.0,298500.0,0.5754,Single Family
220269,2022,03/23/2023,Shelton,70 HEATHER RIDGE,94360.0,179900.0,0.5245,Condo
2200337,2022,12/06/2022,Stamford,158 WATERBURY AVENUE,339035.0,559000.0,0.6065,Single Family
22146,2022,05/25/2023,Monroe,17 HIGHLAND DR,114000.0,205000.0,0.556,Condo
220227,2022,12/19/2022,Hartford,24 WINSHIP ST,64607.0,168000.0,0.3846,Single Family
2200192,2022,02/21/2023,New Milford,4A BOSTWICK ARMS,40320.0,110000.0,0.3665,Condo
220244,2022,06/28/2023,East Lyme,81 E PATTAGANSETT RD #50,91420.0,215000.0,0.4252,Condo
221585,2022,01/04/2023,Manchester,18 MYRTLE STREET,183600.0,270000.0,0.68,Three Family
22000320,2022,07/19/2023,Cheshire,15 HEATH CT,168360.0,410000.0,0.4106,Single Family
221238,2022,06/12/2023,Waterbury,231 ANNA AVE,95498.0,280000.0,0.341,Single Family
22068,2022,02/27/2023,Old Saybrook,33 JARVIS RD,307900.0,680000.0,0.4527,Single Family
220044,2022,10/20/2022,Branford,13 HAMPTON PARK,110800.0,295000.0,0.3756,Condo
2200169,2022,01/09/2023,East Hartford,22 VINCENT COURT,139130.0,239000.0,0.5821,Condo
220985,2022,07/03/2023,Southington,30 WHIPPOORWILL RD,83280.0,223000.0,0.3734,Single Family
220155,2022,12/01/2022,Hartford,39 SOUTH WHITNEY ST,51516.0,115000.0,0.448,Single Family
220055,2022,01/18/2023,Canton,483 DOWD AVENUE,81910.0,185000.0,0.4427,Condo
220041,2022,10/18/2022,Hartford,31 WOODLAND ST 007H,20764.0,45000.0,0.4614,Condo
220519,2022,09/15/2023,Groton,21 COUNTRY CLUB RD,140560.0,312000.0,0.4505,Single Family
220034,2022,10/13/2022,Stratford,190 THOMPSON STREET,160860.0,470000.0,0.3422,Two Family
220598,2022,04/26/2023,Hartford,13 MADISON ST,79564.0,294000.0,0.2706,Two Family
